Hm;km;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;type;date;endtime;starttime;rider_weight;rider_height;ride_type
38,8;7,86847;930,2;36,4788;313,6;48,80093954;48,71468514;9,525737325;9,173887493;19,53422679;Rennrad;23.07.2019;22:03:16;21:00:15;73;183;Training
593,4;28,3105;432,6;56,8692;238,4;48,76652076;48,71700944;9,519571094;9,49054867;27,69582141;Rennrad;07.10.2018;13:02:37;11:52:54;73;183;Training
5399,4;219,32768;2445,2;75,1068;657,2;47,24961002;46,81276241;11,50926626;10,87804819;27,89230057;Rennrad;27.07.2018;18:32:46;06:01:47;73;183;Training
577;30,79268;459,6;56,6352;226,6;48,81129479;48,70891261;9,516882347;9,3939008;23,44706165;Rennrad;26.06.2020;18:05:40;16:41:02;73;183;Training
294,8;24,36735;457;55,6596;247,8;48,76648849;48,71544178;9,56120342;9,490555711;28,1756749;Rennrad;18.10.2017;16:56:14;16:01:29;74;183;Training
347;17,15145;464,2;39,672;252,8;48,7565877;48,71117212;9,517422309;9,480494326;18,23486087;Rennrad;05.06.2020;15:22:32;14:21:45;72;183;Training
660,2;44,24998;525,8;54,216;315,6;48,74619464;48,66375494;9,625193384;9,463395327;24,77090977;Rennrad;11.07.2020;18:33:09;16:37:17;73;183;Training
697;33,9917;479,4;44,2404;242,4;48,77858592;48,71392775;9,582676934;9,481788576;18,24805852;Rennrad;01.05.2020;14:54:50;12:51:26;74;183;Training
4267,4;228,9409;794,8;64,494;314;48,79504362;48,52358663;9,931420181;9,377387781;26,39395335;Rennrad;30.06.2019;17:48:30;05:15:22;73;183;Race
365,2;20,15084;520,4;63,72;310,8;48,76618582;48,71545846;9,56086915;9,490783783;28,83384273;Rennrad;13.05.2018;10:31:12;09:38:58;73;183;Training
252,2;16,28517;391;39,2328;267,8;48,71895421;48,67904495;9,542259481;9,503283547;24,04112848;Rennrad;15.01.2017;16:15:29;15:32:41;76;183;Training
525,6;40,97918;490,8;50,9904;290,8;48,74633051;48,6637577;9,625181984;9,506490882;25,91907335;Rennrad;03.07.2020;18:48:28;17:08:16;73;183;Training
732,6;67,33909;554,6;57,4056;299;48,79839194;48,70778365;9,7461305;9,514848646;27,76864334;Rennrad;01.06.2019;19:01:08;16:26:39;74;183;Training
639,6;58,3749;1355,2;66,1068;841,8;47,19303628;46,96349535;11,0120982;10,90507488;31,22586667;Rennrad;22.07.2020;12:46:34;09:40:51;73;183;Training
220,4;12,97551;340,8;42,6924;235,6;48,71895949;48,70321166;9,538113205;9,472706784;20,0176848;Rennrad;28.04.2020;14:03:50;13:20:13;74;183;Training
